Seq,Index_Group,Index_Serial,Design_Code,Finish_Code,Product_Name,Printed_Page,PDF_Page,Category,Filename,Crop_Method
88,ADDITIONAL,,1115,SPK,DARK GREY,41,24,12_SPARKLE_COLLECTION,088_1115_SPK_DARK_GREY.jpg,layout
89,ADDITIONAL,,1121,SPK,PURPLE,41,24,12_SPARKLE_COLLECTION,089_1121_SPK_PURPLE.jpg,layout
90,ADDITIONAL,,1125,SPK,PINK,41,24,12_SPARKLE_COLLECTION,090_1125_SPK_PINK.jpg,layout
91,ADDITIONAL,,1131,SPK,RED,41,24,12_SPARKLE_COLLECTION,091_1131_SPK_RED.jpg,layout
92,ADDITIONAL,,1117,CN,SLATE GREY,42,24,13_CHIFFON_COLLECTION,092_1117_CN_SLATE_GREY.jpg,layout
93,ADDITIONAL,,1104,CN,FROSTY WHITE,42,24,13_CHIFFON_COLLECTION,093_1104_CN_FROSTY_WHITE.jpg,layout
94,ADDITIONAL,,1101,CC,SUPER WHITE,42,24,14_COLOUR_CORE,094_1101_CC_SUPER_WHITE.jpg,layout
95,ADDITIONAL,,1103,CC,OFF WHITE,42,24,14_COLOUR_CORE,095_1103_CC_OFF_WHITE.jpg,layout
96,ADDITIONAL,,1115,CC,DARK GREY,42,24,14_COLOUR_CORE,096_1115_CC_DARK_GREY.jpg,layout
97,ADDITIONAL,,1125,CC,PINK,42,24,14_COLOUR_CORE,097_1125_CC_PINK.jpg,layout
98,ADDITIONAL,,1131,CC,RED,42,24,14_COLOUR_CORE,098_1131_CC_RED.jpg,layout
99,ADDITIONAL,,1121,CC,PURPLE,42,24,14_COLOUR_CORE,099_1121_CC_PURPLE.jpg,layout
100,ADDITIONAL,,1116,HG,LIGHT GREY,43,25,15_SOLID_HIGH_GLOSS,100_1116_HG_LIGHT_GREY.jpg,layout
101,ADDITIONAL,,1142,HG,ORANGE,43,25,15_SOLID_HIGH_GLOSS,101_1142_HG_ORANGE.jpg,layout
102,ADDITIONAL,,1101,HG,SUPER WHITE,43,25,15_SOLID_HIGH_GLOSS,102_1101_HG_SUPER_WHITE.jpg,layout
103,ADDITIONAL,,1115,HG,DARK GREY,43,25,15_SOLID_HIGH_GLOSS,103_1115_HG_DARK_GREY.jpg,layout
104,ADDITIONAL,,1130,HG,MAROON,43,25,15_SOLID_HIGH_GLOSS,104_1130_HG_MAROON.jpg,layout
105,ADDITIONAL,,1102,HG,NATURAL WHITE,43,25,15_SOLID_HIGH_GLOSS,105_1102_HG_NATURAL_WHITE.jpg,layout
106,ADDITIONAL,,1103,HG,OFF WHITE,43,25,15_SOLID_HIGH_GLOSS,106_1103_HG_OFF_WHITE.jpg,layout
107,ADDITIONAL,,1151,HG,BLACK,43,25,15_SOLID_HIGH_GLOSS,107_1151_HG_BLACK.jpg,layout
108,ADDITIONAL,,1131,HG,RED,43,25,15_SOLID_HIGH_GLOSS,108_1131_HG_RED.jpg,layout
109,ADDITIONAL,,1162,HG,PEACOCK GREEN,44,25,15_SOLID_HIGH_GLOSS,109_1162_HG_PEACOCK_GREEN.jpg,layout
110,ADDITIONAL,,1121,HG,PURPLE,44,25,15_SOLID_HIGH_GLOSS,110_1121_HG_PURPLE.jpg,layout
111,ADDITIONAL,,1125,HG,PINK,44,25,15_SOLID_HIGH_GLOSS,111_1125_HG_PINK.jpg,layout
112,ADDITIONAL,,1146,HG,LIME YELLOW,44,25,15_SOLID_HIGH_GLOSS,112_1146_HG_LIME_YELLOW.jpg,layout
